log_var,lab_var,num_wells,wells_found_in,r_values,avg_r,avg_abs_r,std_r,consistent_direction
Log_HRD2,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': np.float64(0.505032355971865), 'HRDH_1804': np.float64(-0.4329045211187419), 'HRDH_1867': np.float64(0.6113369918136744), 'HRDH_697': np.float64(-0.3266980276134294)}",0.0891917,0.468992974,0.471992555,FALSE
Log_ZCOR,Lab_XRD_Quartz,4,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1119': np.float64(0.49298659675479733), 'HRDH_1804': np.float64(-0.39550459672043164), 'HRDH_1867': np.float64(0.16595934927845962), 'HRDH_697': np.float64(-0.2220968078512281)}",0.010336135,0.319136838,0.34492819,FALSE
Log_SSN,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': np.float64(-0.3891558409916527), 'HRDH_1867': np.float64(-0.45282860104736894), 'HRDH_697': np.float64(-0.7583963513259058)}",-0.533460264,0.533460264,0.161163969,TRUE
Log_LSN,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': np.float64(-0.40155672039690954), 'HRDH_1867': np.float64(-0.40916536823058147), 'HRDH_697': np.float64(-0.7712339540139365)}",-0.527318681,0.527318681,0.172502113,TRUE
Log_CNC,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': np.float64(0.40220050833271576), 'HRDH_1867': np.float64(0.37395171216046824), 'HRDH_697': np.float64(0.6813565842282787)}",0.485836268,0.485836268,0.138733904,TRUE
Log_CN,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': np.float64(0.41103896828242314), 'HRDH_1867': np.float64(0.3337576509935434), 'HRDH_697': np.float64(0.68135826932723)}",0.475384963,0.475384963,0.149023159,TRUE
Log_GR,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': np.float64(0.13605485782235774), 'HRDH_1867': np.float64(0.5361659860521187), 'HRDH_697': np.float64(0.6009179799365522)}",0.424379608,0.424379608,0.205583035,TRUE
Log_PE,Lab_XRD_Quartz,3,"['HRDH_1119', 'HRDH_1804', 'HRDH_697']","{'HRDH_1119': np.float64(0.44260688977650225), 'HRDH_1804': np.float64(-0.5223803972391443), 'HRDH_697': np.float64(0.2500500921071349)}",0.056758862,0.40501246,0.4169902,FALSE
Log_ZDNC,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': np.float64(-0.29328424829795186), 'HRDH_1867': np.float64(0.571018805234392), 'HRDH_697': np.float64(-0.2558768899863826)}",0.007285889,0.373393315,0.398911793,FALSE
Log_ZDEN,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': np.float64(-0.2923243688270216), 'HRDH_1867': np.float64(0.5710244614375525), 'HRDH_697': np.float64(-0.2558914775412184)}",0.007602872,0.373080103,0.398676774,FALSE
