log_var,lab_var,num_wells,avg_r,avg_abs_r,wells_found_in
Log_ZCOR,Lab_XRF_K,2,0.5202444088138487,0.5202444088138487,"['HRDH_1119', 'HRDH_697']"
Log_KC,Lab_XRD_Quartz,2,-0.5197638774775033,0.5197638774775033,"['HRDH_1804', 'HRDH_1867']"
Log_SSN,Lab_XRF_Si,2,0.1405526886087744,0.519198226796844,"['HRDH_1119', 'HRDH_697']"
Log_SHR,Lab_XRF_K,2,0.17110017796712446,0.5134524064415089,"['HRDH_1119', 'HRDH_697']"
Log_RTHUC,Lab_XRD_Illite/Mica,2,0.5030915632859552,0.5030915632859552,"['HRDH_1804', 'HRDH_1867']"
Log_SFT2,Lab_XRD_Chlorite,2,-0.29529854182645965,0.5023274129748377,"['HRDH_1867', 'HRDH_697']"
Log_ZDNC,Lab_XRF_Fe,2,-0.052428232154261956,0.500044936833991,"['HRDH_1119', 'HRDH_697']"
Log_ZDEN,Lab_XRF_Fe,2,-0.052347502931635564,0.49991028308427043,"['HRDH_1119', 'HRDH_697']"
Log_PE,Lab_XRF_Al,2,-0.059791081033356064,0.49887529575203693,"['HRDH_1119', 'HRDH_697']"
Log_KC,Lab_XRD_Dickite,2,0.4984878950165188,0.4984878950165188,"['HRDH_1804', 'HRDH_1867']"
Log_LSN,Lab_XRF_K,2,-0.4958177266871585,0.4958177266871585,"['HRDH_1119', 'HRDH_697']"
Log_LSN,Lab_XRF_Fe,2,-0.4916021716698983,0.4916021716698983,"['HRDH_1119', 'HRDH_697']"
Log_HRD2,Lab_XRD_Dickite,2,-0.014054232581554887,0.48937861282552686,"['HRDH_1804', 'HRDH_1867']"
Log_GRSL,Lab_XRF_Na,2,0.4888962201290844,0.4888962201290844,"['HRDH_1119', 'HRDH_697']"
Log_GR,Lab_XRF_Cl,2,0.48713961694151386,0.48713961694151386,"['HRDH_1119', 'HRDH_697']"
Log_SLGN,Lab_XRF_Ca,2,0.2630804372849225,0.48580696031892967,"['HRDH_1119', 'HRDH_697']"
Log_KTH,Lab_XRD_Quartz,2,0.0658967421049454,0.4833498453480048,"['HRDH_1119', 'HRDH_697']"
Log_ZDNC,Lab_XRD_Dickite,2,0.20226447682582901,0.48289254514089774,"['HRDH_1804', 'HRDH_1867']"
Log_ZDEN,Lab_XRD_Dickite,2,0.20286893377076679,0.482217895911602,"['HRDH_1804', 'HRDH_1867']"
Log_ZDNC,Lab_XRF_Na,2,-0.48022974817765984,0.48022974817765984,"['HRDH_1119', 'HRDH_697']"
Log_ZDEN,Lab_XRF_Na,2,-0.4801329960982173,0.4801329960982173,"['HRDH_1119', 'HRDH_697']"
Log_HRD1,Lab_XRF_Fe,2,0.47984149096744205,0.47984149096744205,"['HRDH_1119', 'HRDH_697']"
Log_SHR,Lab_XRF_Al,2,0.07667131352289128,0.47859048061868714,"['HRDH_1119', 'HRDH_697']"
Log_HRD2,Lab_XRF_Ca,2,0.2344899612927452,0.4784344439300945,"['HRDH_1119', 'HRDH_697']"
Log_SHR,Lab_XRF_Mg,2,-0.0014044910616095307,0.4763043799833335,"['HRDH_1119', 'HRDH_697']"
Log_SLGN,Lab_XRF_K,2,0.07756674505701008,0.4738056695498357,"['HRDH_1119', 'HRDH_697']"
Log_LSN,Lab_XRF_Mg,2,-0.46858187102817983,0.46858187102817983,"['HRDH_1119', 'HRDH_697']"
Log_LSN,Lab_XRD_K-Feldspar,2,-0.18866828440642802,0.4673705869157694,"['HRDH_1867', 'HRDH_697']"
Log_SSN,Lab_XRD_Anatase,2,-0.46685008544963547,0.46685008544963547,"['HRDH_1804', 'HRDH_1867']"
Log_HRD1,Lab_XRF_Sr,2,-0.10154313155652592,0.4665718962376556,"['HRDH_1119', 'HRDH_697']"
Log_ZCOR,Lab_XRD_Dickite,2,0.005372675339414684,0.46585755757557357,"['HRDH_1804', 'HRDH_1867']"
Log_SSN,Lab_XRF_S,2,0.4652563032379598,0.4652563032379598,"['HRDH_1119', 'HRDH_697']"
Log_GR,Lab_XRF_Ca,2,0.2869739107756515,0.464121075448127,"['HRDH_1119', 'HRDH_697']"
Log_SLGN,Lab_XRF_P,2,0.46227500051806475,0.46227500051806475,"['HRDH_1119', 'HRDH_697']"
Log_SSN,Lab_XRF_Fe,2,-0.46202437046273576,0.46202437046273576,"['HRDH_1119', 'HRDH_697']"
Log_ZDEN,Lab_XRF_Ca,2,-0.26054274216914153,0.45843660993083,"['HRDH_1119', 'HRDH_697']"
Log_ZDNC,Lab_XRF_Ca,2,-0.260507154411885,0.4584148773653314,"['HRDH_1119', 'HRDH_697']"
Log_HRD1,Lab_XRF_S,2,-0.45820935446589595,0.45820935446589595,"['HRDH_1119', 'HRDH_697']"
Log_ZCOR,Lab_XRF_Na,2,0.037139283786207955,0.45788197527970287,"['HRDH_1119', 'HRDH_697']"
Log_SSD,Lab_XRD_Anatase,2,-0.17038768251785388,0.45752566407387163,"['HRDH_1804', 'HRDH_1867']"
Log_SSD,Lab_XRD_Chlorite,2,-0.333412865281122,0.4516161818301091,"['HRDH_1867', 'HRDH_697']"
Log_LSN,Lab_XRD_Anatase,2,-0.45060641019618897,0.45060641019618897,"['HRDH_1804', 'HRDH_1867']"
Log_SSN,Lab_XRF_Na,2,-0.4498515403211787,0.4498515403211787,"['HRDH_1119', 'HRDH_697']"
Log_LSN,Lab_XRF_Na,2,-0.4495018551468697,0.4495018551468697,"['HRDH_1119', 'HRDH_697']"
Log_ZDEN,Lab_XRD_Chlorite,2,0.4473749679779849,0.4473749679779849,"['HRDH_1867', 'HRDH_697']"
Log_ZDNC,Lab_XRD_Chlorite,2,0.4473725819598213,0.4473725819598213,"['HRDH_1867', 'HRDH_697']"
Log_RUK,Lab_XRD_Quartz,2,0.20003266762016736,0.4440217669833131,"['HRDH_1119', 'HRDH_697']"
Log_PE,Lab_XRF_Mg,2,-0.023586589434367783,0.4428132466268042,"['HRDH_1119', 'HRDH_697']"
Log_LSN,Lab_XRF_S,2,0.4415631268324309,0.4415631268324309,"['HRDH_1119', 'HRDH_697']"
Log_GRSL,Lab_XRD_Quartz,2,-0.0459828137842459,0.4391848788132937,"['HRDH_1119', 'HRDH_697']"
Log_U,Lab_XRF_S,2,-0.4388239988240482,0.4388239988240482,"['HRDH_1119', 'HRDH_697']"
Log_ZCOR,Lab_XRF_Al,2,0.4357677480501968,0.4357677480501968,"['HRDH_1119', 'HRDH_697']"
Log_U,Lab_XRF_Sr,2,-0.07393546777929327,0.4315901309568426,"['HRDH_1119', 'HRDH_697']"
Log_KC,Lab_XRD_Anatase,2,0.4298401883255551,0.4298401883255551,"['HRDH_1804', 'HRDH_1867']"
Log_HRD2,Lab_XRF_Al,2,0.4253191485203181,0.4253191485203181,"['HRDH_1119', 'HRDH_697']"
Log_U,Lab_XRF_Ca,2,0.14747855925879907,0.4214564143506232,"['HRDH_1119', 'HRDH_697']"
Log_RUK,Lab_XRF_Ca,2,0.07447486897418093,0.4204392059706811,"['HRDH_1119', 'HRDH_697']"
Log_SPD,Lab_XRD_Plagioclase,2,-0.15362525549236172,0.41899569168056305,"['HRDH_1119', 'HRDH_1867']"
Log_CNC,Lab_XRF_Si,2,-0.18014186094130408,0.4184067121341191,"['HRDH_1119', 'HRDH_697']"
Log_CN,Lab_XRF_Si,2,-0.18377551765140898,0.4147788290310216,"['HRDH_1119', 'HRDH_697']"
Log_HRD2,Lab_XRF_Fe,2,0.15325920410183982,0.4143097479143252,"['HRDH_1119', 'HRDH_697']"
Log_TH,Lab_XRF_Fe,2,-0.08720054646976486,0.41350729326969216,"['HRDH_1119', 'HRDH_697']"
Log_HRD2,Lab_XRF_Sr,2,-0.41239851191632704,0.41239851191632704,"['HRDH_1119', 'HRDH_697']"
Log_K,Lab_XRF_Si,2,0.042281023831664266,0.4108464524856639,"['HRDH_1119', 'HRDH_697']"
Log_HRD2,Lab_XRF_Na,2,0.4106592906189034,0.4106592906189034,"['HRDH_1119', 'HRDH_697']"
Log_GRSL,Lab_XRF_Cl,2,0.4094883894244556,0.4094883894244556,"['HRDH_1119', 'HRDH_697']"
Log_SHR,Lab_XRF_Na,2,-0.4094372367092513,0.4094372367092513,"['HRDH_1119', 'HRDH_697']"
Log_GRSL,Lab_XRF_Fe,2,0.40800526226726197,0.40800526226726197,"['HRDH_1119', 'HRDH_697']"
